,degree_centrality,betweenness_centrality,closeness_centrality
Awkwafina_a,0.002368817744598378,0.0009489016314148343,0.2533754897100793
Eiza González_a,0.002009905965113775,0.0002521879290057163,0.26178210847949135
Milla Jovovich_a,0.0011485176943507285,6.128077383107114e-05,0.23890816353924682
Jeremy Irvine_a,0.002297035388701457,0.00022539419653384802,0.2583413127227797
Arnaud Valois_a,0.0005742588471753643,0.0,0.2279250133996496
Daniel Horvath_a,0.0005742588471753643,0.0,0.2279250133996496
Raja Gosnell_d,0.0030148589476706625,0.00030749323944140983,0.2742819717776331
Will Arnett_a,0.00409159428612447,0.0005688004962605971,0.28362024929777946
Ludacris_a,0.005670806115856722,0.0020339954255878707,0.28887151466828676
Natasha Lyonne_a,0.005168329624578278,0.0009708956814337814,0.2786127033420086
Stanley Tucci_a,0.00796784150455818,0.0037245639751007876,0.2952649715164154
Jordin Sparks_a,0.0020816883210106954,0.0009158165974007058,0.2576844157370615
Gabriel Iglesias_a,0.003732682506639868,0.000853504743748449,0.2805587181093319
Shaquille O'Neal_a,0.0008613882707630464,0.0,0.2468415161877233
Omar Chaparro_a,0.0008613882707630464,0.0,0.2468415161877233
Alan Cumming_a,0.00667575909841361,0.0030747237213754734,0.289963455818365
Andy Beckwith_a,0.0008613882707630464,0.0,0.2468415161877233
Delia Sheppard_a,0.0008613882707630464,0.0,0.2468415161877233
Kerry Shale_a,0.00401981193022755,0.0001889961607289797,0.2634993881205271
Stephen Kijak_d,0.0007178235589692054,0.0,0.0007178235589692054
Ronnie Van Zandt_a,0.0007178235589692054,0.0,0.0007178235589692054
Gary Rossington_a,0.0007178235589692054,0.0,0.0007178235589692054
Allen Collins_a,0.0007178235589692054,0.0,0.0007178235589692054
Leon Wilkeson_a,0.0007178235589692054,0.0,0.0007178235589692054
Bob Burns_a,0.0007178235589692054,0.0,0.0007178235589692054
Billy Powell_a,0.0007178235589692054,0.0,0.0007178235589692054
Ed King_a,0.0007178235589692054,0.0,0.0007178235589692054
Artimus Pyle_a,0.0007178235589692054,0.0,0.0007178235589692054
Steve Gaines_a,0.0007178235589692054,0.0,0.0007178235589692054
Johnny Van Zant_a,0.0007178235589692054,0.0,0.0007178235589692054
Chapman Way_d,0.00014356471179384107,0.0,0.21418905315676368
Maclain Way_d,0.00014356471179384107,0.0,0.21418905315676368
David de Vos_d,0.0004306941353815232,0.0,0.00043069413538152323
Mandy Grace_a,0.0004306941353815232,0.0,0.00043069413538152323
David de Vos_a,0.0004306941353815232,0.0,0.00043069413538152323
Donna Rusch_a,0.0004306941353815232,0.0,0.00043069413538152323
Devan Key_a,0.0004306941353815232,0.0,0.00043069413538152323
Isabella Mancuso_a,0.0004306941353815232,0.0,0.00043069413538152323
Ariana Guido_a,0.0004306941353815232,0.0,0.00043069413538152323
Luke Holland_d,0.0,0.0,0.0
Jane Campion_d,0.0011485176943507285,3.335054585861305e-05,0.246483495468049
Meg Ryan_a,0.0012920824061445695,5.8157813325185e-05,0.25564483902429164
Mark Ruffalo_a,0.006388629674825928,0.0019988201959769015,0.297916765990631
Jennifer Jason Leigh_a,0.005024764912784438,0.0018759278721479104,0.2851872524565775
Nick Damici_a,0.0015074294738353312,8.058265376096584e-05,0.2667380916014831
Sharrieff Pugh_a,0.001220300050247649,4.486283937050958e-05,0.24945592577856457
Kevin Bacon_a,0.004665853133299835,0.0023447223744953206,0.27785581309019286
Yaani King Mondschein_a,0.0005742588471753643,0.0,0.23752624125149163
Heather Litteer_a,0.0005742588471753643,0.0,0.23752624125149163
Mark Rosman_d,0.001076735338453808,0.0,0.23431669953333795
Hilary Duff_a,0.001076735338453808,0.0,0.23431669953333795
Chad Michael Murray_a,0.0029430765917737418,0.0006169306146709347,0.2563151533645957
Jennifer Coolidge_a,0.006316847318929007,0.0024417511283355104,0.28684613595265046
Dan Byrd_a,0.0017945588974230134,0.00028367701688360565,0.2574441897452774
Regina King_a,0.003086641303567583,0.0008869188852576782,0.2622731402854101
Julie Gonzalo_a,0.001076735338453808,0.0,0.23431669953333795
Lin Shaye_a,0.0055990237599598015,0.0023688451601530597,0.2722404892027262
Madeline Zima_a,0.001076735338453808,0.0,0.23431669953333795
Andrea Avery_a,0.001076735338453808,0.0,0.23431669953333795
Mary Pat Gleason_a,0.003086641303567583,0.000593871935101929,0.2576844157370615
Paul Rodriguez_a,0.0027995118799799008,0.0004155304027428174,0.2450291220115041
Whip Hubley_a,0.0017945588974230134,0.00024248468722587316,0.2578648796461147
Kevin Kilner_a,0.001076735338453808,0.0,0.23431669953333795
Erica Hubbard_a,0.002512382456392219,0.0011870704446178164,0.2373170164869294
Simon Helberg_a,0.001076735338453808,0.0,0.23431669953333795
Lasse Hallström_d,0.0048094178450936755,0.0009295789925878984,0.2767004295834427
Robert Redford_a,0.0034455530830521854,0.0007869586495706029,0.271631285334201
Jennifer Lopez_a,0.00401981193022755,0.0015770880158385218,0.2758987399006073
Morgan Freeman_a,0.010121312181465796,0.004994284031016438,0.30194784051063656
Josh Lucas_a,0.0048094178450936755,0.0010858167714333448,0.2835037817775997
Damian Lewis_a,0.0015074294738353312,9.759836393945395e-05,0.25729427581758635
Camryn Manheim_a,0.002584164812289139,0.0003177803619884824,0.26169528190951474
Becca Gardner_a,0.0007178235589692054,0.0,0.24202269558950543
Lynda Boyd_a,0.0014356471179384107,0.00015924060260215231,0.24646699650588194
Rob Hayter_a,0.0007178235589692054,0.0,0.24202269558950543
P. Lynn Johnson_a,0.0007178235589692054,0.0,0.24202269558950543
Ridley Scott_d,0.002297035388701457,0.00016784731675083625,0.2619994271815331
Rutger Hauer_a,0.0020816883210106954,0.00029310788815738165,0.24603331735752093
Sean Young_a,0.0016509941856291722,8.892106476108796e-05,0.24418413797114347
Edward James Olmos_a,0.0033019883712583444,0.0012485593763356946,0.2542268780069187
M. Emmet Walsh_a,0.0028712942358768215,0.0004453225279638923,0.2592507944376788
Daryl Hannah_a,0.0031584236594645035,0.0007081396739073972,0.2717983772397484
William Sanderson_a,0.0008613882707630464,0.0,0.2349946357784244
Brion James_a,0.0008613882707630464,0.0,0.2349946357784244
Joe Turkel_a,0.0008613882707630464,0.0,0.2349946357784244
Joanna Cassidy_a,0.0008613882707630464,0.0,0.2349946357784244
James Hong_a,0.0042351589979183115,0.0011464875740109886,0.2715845364099186
Morgan Paull_a,0.0008613882707630464,0.0,0.2349946357784244
Neill Blomkamp_d,0.0013638647620414902,0.00023555071918578724,0.23098968757241836
Sharlto Copley_a,0.002512382456392219,0.0007416404639978531,0.24471427921311098
Hugh Jackman_a,0.007034670877898212,0.0024147999051311393,0.2990054367376937
Sigourney Weaver_a,0.003660900150742947,0.0011293113517339766,0.27399622595561496
Dev Patel_a,0.0017227765415260927,5.6587090264567026e-05,0.24169437125354173
Ninja_a,0.0007178235589692054,0.0,0.23076770738505897
Yo-Landi Visser_a,0.0007178235589692054,0.0,0.23076770738505897
Jose Pablo Cantillo_a,0.0007178235589692054,0.0,0.23076770738505897
Brandon Auret_a,0.0026559471681860598,0.0004007260777284009,0.2448498880480697
Johnny Selema_a,0.0007178235589692054,0.0,0.23076770738505897
Maurice Carpede_a,0.0007178235589692054,0.0,0.23076770738505897
Phillip Noyce_d,0.0020816883210106954,0.00014881931360392485,0.26655143093556183
